x-1,y-1,x-2,y-2,confidence score,label,Name,Frame
365.5010986328125,22.88182258605957,388.9691467285156,45.48130035400391,0.2638565599918365,1,nametag,139
315.381103515625,1.5502166748046875,385.9703979492188,103.37755584716795,0.3005282282829284,0,target,140
302.592529296875,3.914468765258789,374.4646301269531,118.10549926757812,0.2707536816596985,0,target,142
299.6246337890625,5.266622543334961,371.8319396972656,135.9598846435547,0.3570952415466308,0,target,143
297.6026306152344,14.553491592407228,368.8885192871094,134.15576171875,0.2776923477649688,0,target,144
295.8357238769531,5.317010879516602,363.49658203125,141.425048828125,0.4156636595726013,0,target,145
198.9069366455078,107.35830688476562,219.56434631347656,125.28611755371094,0.2591511011123657,1,nametag,205
186.21372985839844,117.57239532470705,211.51144409179688,140.1457061767578,0.3835626542568207,1,nametag,209
178.92530822753906,527.133544921875,280.8882141113281,625.5488891601562,0.2590486705303192,0,target,337
169.0919647216797,531.6702270507812,281.9532775878906,613.278076171875,0.3114874362945556,0,target,338
187.19772338867188,534.0901489257812,272.0589294433594,635.5677490234375,0.6975858807563782,0,target,339
197.56915283203125,538.390380859375,299.0748596191406,639.243896484375,0.6597675681114197,0,target,340
239.29872131347656,595.1393432617188,267.4071350097656,613.3372802734375,0.2835830748081207,1,nametag,340
213.3780212402344,535.5342407226562,310.86236572265625,641.5529174804688,0.6550682783126831,0,target,341
247.9236297607422,584.6383666992188,271.1683044433594,601.3023071289062,0.3132532238960266,1,nametag,341
239.0709686279297,576.6588134765625,285.5509948730469,610.1039428710938,0.2704576849937439,1,nametag,341
230.0808258056641,534.5645141601562,331.5502319335937,646.7069091796875,0.6713739633560181,0,target,342
266.71319580078125,575.3352661132812,295.38922119140625,597.3751220703125,0.5214017629623413,1,nametag,342
253.90663146972656,572.8851318359375,307.2344055175781,599.4296264648438,0.5048257112503052,1,nametag,342
268.0888366699219,584.0652465820312,292.2642517089844,601.2471313476562,0.3834742605686188,1,nametag,342
247.82858276367188,536.8120727539062,337.8874816894531,647.40380859375,0.5845133066177368,0,target,343
266.3432922363281,570.657958984375,317.99969482421875,603.006103515625,0.3367420136928558,1,nametag,343
281.5650329589844,575.1356201171875,304.8061218261719,597.6764526367188,0.2714035809040069,1,nametag,343
266.2469482421875,530.9275512695312,359.2732238769531,650.643310546875,0.6629099249839783,0,target,344
287.67041015625,566.1190795898438,338.4647216796875,604.9513549804688,0.4255281090736389,1,nametag,344
300.7296447753906,575.7216796875,326.5839538574219,597.6118774414062,0.3443458378314972,1,nametag,344
303.5906982421875,584.7123413085938,325.8676147460937,601.5693359375,0.2731649279594421,1,nametag,344
291.9375915527344,528.52001953125,395.720703125,648.81298828125,0.5826237201690674,0,target,345
324.48565673828125,530.8151245117188,419.4564514160156,655.3751220703125,0.2680397033691406,0,target,346
349.8414001464844,518.973876953125,421.1856994628906,649.436279296875,0.4348693788051605,0,target,347
378.22900390625,500.6503601074219,441.83984375,653.496337890625,0.2894077599048614,0,target,348
439.1859130859375,470.7550354003906,496.0228576660156,621.5567626953125,0.3133663237094879,0,target,350
511.0945434570313,436.4458923339844,563.7500610351562,584.5631713867188,0.3112399280071258,0,target,353
517.6256103515625,137.8192901611328,601.9910888671875,301.9229431152344,0.4451005458831787,0,target,365
500.5699768066406,58.16875076293945,586.8408203125,230.32553100585935,0.5357288718223572,0,target,369
501.1992492675781,38.958473205566406,573.5935668945312,190.37612915039065,0.6791138648986816,0,target,370
492.5277404785156,33.812477111816406,561.763671875,189.67068481445312,0.6618109345436096,0,target,371
483.9117126464844,27.16841125488281,551.2230224609375,174.1619110107422,0.7271595597267151,0,target,372
479.5595703125,16.032726287841797,544.2346801757812,153.54331970214844,0.593280017375946,0,target,373
483.7655944824219,21.54389762878418,546.2880249023438,154.71612548828125,0.579243004322052,0,target,374
489.8454895019531,2.7253360748291016,547.4679565429688,135.6111602783203,0.423233687877655,0,target,375
488.0421752929688,4.637340545654297,549.8296508789062,150.54421997070312,0.7921562790870667,0,target,376
504.4559631347656,33.17983627319336,533.9580078125,56.12726593017578,0.2916112840175628,1,nametag,376
483.3312377929688,4.341951370239258,554.7532348632812,156.408203125,0.7946876883506775,0,target,377
507.3357543945313,33.47614288330078,537.0869140625,56.80640411376953,0.3906053006649017,1,nametag,377
479.1790466308594,3.7507381439208975,557.771728515625,166.88037109375,0.7533262372016907,0,target,378
509.2444458007813,34.40536880493164,538.794921875,58.0722541809082,0.4969095587730407,1,nametag,378
482.7351379394531,4.502300262451172,561.6892700195312,168.8779754638672,0.7814890742301941,0,target,379
517.470947265625,39.30914306640625,542.04345703125,57.91949081420898,0.4503700137138366,1,nametag,379
520.7604370117188,32.01567459106445,549.0130615234375,54.90324020385742,0.3220928311347961,1,nametag,379
489.5659790039063,11.91343116760254,560.7073974609375,171.63771057128906,0.7544307112693787,0,target,380
519.2579345703125,45.01228332519531,544.5985107421875,66.29463958740234,0.582216739654541,1,nametag,380
501.4952392578125,23.139741897583008,570.7171630859375,162.9978485107422,0.7053869366645813,0,target,381
525.3400268554688,56.76536560058594,552.0986328125,79.81470489501953,0.5666582584381104,1,nametag,381
501.7460632324219,22.5300235748291,573.1474609375,168.3277587890625,0.6953319311141968,0,target,382
529.6622314453125,66.0168228149414,557.2450561523438,85.09652709960938,0.3508833646774292,1,nametag,382
495.6586608886719,32.45258712768555,574.2327880859375,208.9575958251953,0.8829134702682495,0,target,383
529.8495483398438,76.08496856689453,558.98388671875,100.76827239990234,0.5563279986381531,1,nametag,383
531.1221313476562,66.09163665771484,563.6460571289062,90.66595458984376,0.3103013932704925,1,nametag,383
