               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067099,            0.018062,           0.0097367,             0.45809,             0.54911,             0.51874,             0.22572,            0.068149,            0.011774,           0.0098854,           0.0056688,           0.0056688,           0.0056688
                  37,             0.06653,            0.017472,           0.0099234,             0.44893,              0.6875,             0.48152,             0.20166,            0.077654,            0.010477,           0.0097214,            0.005545,            0.005545,            0.005545
                  38,            0.068834,            0.013573,           0.0094638,             0.50966,             0.52932,             0.46203,             0.17387,            0.068114,             0.01145,           0.0096481,           0.0054212,           0.0054212,           0.0054212
                  39,            0.062864,            0.016511,           0.0085171,             0.53747,              0.6875,             0.54244,             0.20852,            0.076495,            0.010218,           0.0095917,           0.0052975,           0.0052975,           0.0052975
                  40,             0.06266,            0.014569,           0.0082457,             0.59683,             0.61607,             0.58737,             0.23419,            0.066239,            0.011114,            0.009565,           0.0051737,           0.0051737,           0.0051737
                  41,            0.062098,             0.01618,           0.0088904,             0.56229,             0.71889,             0.56378,             0.15957,            0.076951,           0.0099335,           0.0094177,             0.00505,             0.00505,             0.00505
                  42,            0.064411,            0.017484,           0.0082085,             0.62658,             0.57289,             0.58236,             0.22948,            0.066322,            0.010559,           0.0092941,           0.0049263,           0.0049263,           0.0049263
                  43,            0.060124,            0.017191,           0.0087446,             0.48365,               0.625,             0.59059,             0.19072,            0.074182,           0.0099564,           0.0093597,           0.0048025,           0.0048025,           0.0048025
                  44,            0.061303,            0.014576,           0.0075897,             0.61584,              0.6875,             0.61086,             0.26085,            0.063251,            0.010365,           0.0092056,           0.0046788,           0.0046788,           0.0046788
                  45,            0.060961,            0.014432,           0.0077571,             0.55479,             0.61607,             0.56551,              0.2109,            0.073087,           0.0096226,           0.0091415,            0.004555,            0.004555,            0.004555
                  46,            0.062412,            0.012676,           0.0076076,             0.64881,             0.65179,             0.61236,             0.25244,            0.061562,            0.010231,           0.0090561,           0.0044313,           0.0044313,           0.0044313
                  47,            0.058247,            0.015079,           0.0081392,             0.63111,             0.66042,             0.62567,             0.24057,            0.071056,           0.0095024,           0.0089996,           0.0043075,           0.0043075,           0.0043075
                  48,            0.059487,            0.014381,            0.007389,             0.63958,             0.65179,             0.66736,              0.2604,            0.061959,           0.0099545,           0.0088684,           0.0041837,           0.0041837,           0.0041837
                  49,            0.057022,            0.014452,           0.0082408,             0.56367,             0.67821,             0.70401,             0.24615,            0.071532,           0.0094223,            0.008905,             0.00406,             0.00406,             0.00406
                  50,             0.06108,            0.013307,           0.0074917,             0.64691,             0.68411,             0.66028,             0.26619,            0.061275,           0.0098476,           0.0087448,           0.0039362,           0.0039362,           0.0039362
                  51,            0.054808,            0.013505,           0.0078874,             0.64409,             0.74559,             0.73757,             0.27243,            0.068676,           0.0093555,           0.0087399,           0.0038125,           0.0038125,           0.0038125
                  52,            0.056089,            0.013656,           0.0078195,             0.67175,             0.67334,              0.6399,             0.24117,            0.060926,           0.0096874,           0.0086178,           0.0036888,           0.0036888,           0.0036888
                  53,            0.056652,            0.012965,           0.0075698,             0.60827,             0.79018,             0.70293,             0.25749,            0.066084,           0.0093975,           0.0086979,            0.003565,            0.003565,            0.003565
                  54,            0.053297,            0.014033,           0.0074144,             0.71328,             0.70782,             0.71373,              0.2855,            0.059873,           0.0096073,           0.0086426,           0.0034413,           0.0034413,           0.0034413
                  55,            0.056296,            0.013625,           0.0078552,             0.62031,             0.79018,             0.73609,             0.24659,            0.067129,           0.0091515,            0.008699,           0.0033175,           0.0033175,           0.0033175
                  56,            0.051152,            0.013426,           0.0072497,             0.65336,             0.82151,             0.80019,             0.32873,            0.058528,           0.0095062,           0.0085983,           0.0031938,           0.0031938,           0.0031938
                  57,            0.056679,            0.013391,           0.0074555,             0.61282,             0.75609,             0.71307,              0.2618,            0.065408,            0.009222,           0.0085884,             0.00307,             0.00307,             0.00307
                  58,            0.052074,            0.013647,           0.0069581,             0.67601,             0.74178,              0.7528,             0.32628,             0.05884,           0.0093575,            0.008474,           0.0029462,           0.0029462,           0.0029462
                  59,             0.05392,            0.014117,            0.008175,             0.65222,             0.65179,             0.65199,             0.20292,            0.065803,           0.0091267,           0.0084949,           0.0028225,           0.0028225,           0.0028225
                  60,            0.053139,            0.012474,           0.0067794,             0.72477,             0.78851,             0.78624,              0.2885,            0.058381,           0.0093021,           0.0084209,           0.0026987,           0.0026987,           0.0026987
                  61,            0.050618,            0.012198,           0.0067865,             0.72826,             0.79464,             0.77836,             0.25993,            0.063112,           0.0091343,           0.0084644,            0.002575,            0.002575,            0.002575
                  62,            0.051441,            0.013974,           0.0074804,             0.82162,             0.64002,             0.72407,             0.26803,            0.060302,           0.0091114,           0.0084114,           0.0024513,           0.0024513,           0.0024513
                  63,             0.05057,            0.013159,           0.0076703,             0.68231,             0.75893,             0.71827,             0.23931,            0.061396,           0.0090618,            0.008387,           0.0023275,           0.0023275,           0.0023275
                  64,            0.049964,            0.015012,           0.0067648,             0.69151,             0.69969,             0.74131,             0.30302,            0.057564,           0.0090351,           0.0083576,           0.0022038,           0.0022038,           0.0022038
                  65,            0.048363,            0.012347,           0.0068798,             0.68731,             0.66972,             0.67568,             0.26568,            0.062347,           0.0088444,           0.0083496,             0.00208,             0.00208,             0.00208
                  66,            0.049328,            0.012329,           0.0066037,             0.72839,             0.79464,             0.80104,             0.27676,            0.057587,            0.008913,            0.008334,           0.0019563,           0.0019563,           0.0019563
                  67,            0.049848,            0.012095,           0.0070661,             0.73501,             0.72321,             0.73357,             0.30444,            0.061183,           0.0087986,           0.0083344,           0.0018325,           0.0018325,           0.0018325
                  68,            0.048068,            0.011958,           0.0062505,             0.73154,             0.72321,             0.72903,             0.24605,            0.058243,           0.0088882,           0.0083145,           0.0017087,           0.0017087,           0.0017087
                  69,            0.047793,            0.010707,           0.0067919,             0.79441,             0.72321,             0.71888,             0.28798,            0.060091,            0.008791,           0.0082821,            0.001585,            0.001585,            0.001585
                  70,            0.048528,            0.013112,           0.0070176,             0.82889,             0.75446,             0.74738,             0.29798,            0.056867,           0.0088005,           0.0082375,           0.0014612,           0.0014612,           0.0014612
                  71,            0.050534,            0.011668,            0.006819,             0.77378,             0.79018,             0.79446,             0.31273,             0.05847,           0.0088196,           0.0082382,           0.0013375,           0.0013375,           0.0013375
                  72,            0.047456,              0.0123,           0.0070381,             0.69396,             0.79357,             0.71451,             0.29495,             0.05835,           0.0088673,           0.0082382,           0.0012138,           0.0012138,           0.0012138
                  73,            0.047837,            0.010209,           0.0061835,              0.8149,             0.82589,             0.79635,              0.3213,            0.057311,           0.0088825,           0.0082798,             0.00109,             0.00109,             0.00109
                  74,            0.046479,            0.011754,           0.0064609,             0.78013,             0.75446,             0.72939,             0.29954,            0.060103,            0.008873,           0.0082981,          0.00096625,          0.00096625,          0.00096625
                  75,            0.047006,            0.011301,           0.0062805,             0.73829,             0.81517,             0.72574,             0.30377,            0.057368,           0.0088902,           0.0082829,           0.0008425,           0.0008425,           0.0008425
                  76,            0.045503,            0.012629,           0.0066072,             0.81506,             0.79018,             0.78412,             0.29795,            0.058972,           0.0089054,           0.0082891,          0.00071875,          0.00071875,          0.00071875
                  77,            0.046231,             0.01143,           0.0060624,             0.81403,             0.79018,             0.78421,             0.31616,            0.056923,           0.0088844,           0.0082771,            0.000595,            0.000595,            0.000595
                  78,            0.046877,            0.011812,            0.006868,             0.81386,             0.79018,             0.78593,             0.30692,            0.058282,           0.0088387,           0.0082489,          0.00047125,          0.00047125,          0.00047125
                  79,            0.044102,             0.01164,           0.0061964,             0.85877,             0.79018,             0.78991,             0.29657,            0.058595,           0.0088406,           0.0082361,           0.0003475,           0.0003475,           0.0003475
